movej(p[-0.484090272863862, -0.172389604769229, 0.352331085346692, -0.838, -1.524, 1.716], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.484050587220279, -0.172347193373165, 0.35286589911653, -0.838, -1.524, 1.716], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.483997650698404, -0.172290620980913, 0.353579285073529, -0.838, -1.524, 1.716], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.483951667873024, -0.172241479889998, 0.354198961257892, -0.838, -1.524, 1.716], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.483884435408642, -0.172169629658583, 0.355105002951695, -0.838, -1.524, 1.716], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.483818114025883, -0.172098753085147, 0.355998766679142, -0.838, -1.524, 1.716], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.483770952153698, -0.172048351966259, 0.356634331996438, -0.838, -1.524, 1.716], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.48380141979499, -0.172080912234541, 0.356223742356799, -0.838, -1.524, 1.716], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.48387805783729, -0.172162814052733, 0.355190948716193, -0.838, -1.524, 1.716], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.483953021097197, -0.172242926058466, 0.354180724866685, -0.838, -1.524, 1.716], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.484020749297167, -0.172315306074369, 0.353268002514717, -0.838, -1.524, 1.716], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.48405183325838, -0.172348524993636, 0.352849107191954, -0.838, -1.524, 1.716], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.484068674870123, -0.172366523347739, 0.352622145372681, -0.838, -1.524, 1.716], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.484077866075895, -0.172376345838522, 0.35249828235914, -0.838, -1.524, 1.716], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.484092001239291, -0.172391451855689, 0.35230779332228, -0.838, -1.524, 1.716], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.484092001239291, -0.172391451855689, 0.35230779332228, -0.838, -1.524, 1.716], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.484088772258838, -0.172388001097265, 0.352351307879515, -0.838, -1.524, 1.716], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.484062953813469, -0.172360409348374, 0.352699243779069, -0.838, -1.524, 1.716], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.484009642140337, -0.172303436038131, 0.353417685369273, -0.838, -1.524, 1.716], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.483937974852179, -0.172226846383321, 0.354383491869902, -0.838, -1.524, 1.716], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.48387259134756, -0.172156972104862, 0.355264616514334, -0.838, -1.524, 1.716], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.483820860669007, -0.172101688377582, 0.355961752221743, -0.838, -1.524, 1.716], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.483770911958921, -0.17204830901076, 0.356634873671424, -0.838, -1.524, 1.716], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.483776324855615, -0.172054093684632, 0.356561928106598, -0.838, -1.524, 1.716], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.483875847124532, -0.172160451500286, 0.355220740840442, -0.838, -1.524, 1.716], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.483966714118042, -0.172257559565143, 0.353996194254675, -0.838, -1.524, 1.716], a = 0.2, v = 0.2, t = 0.2)
