movej(p[0.456814372655111, 0.0621033580446675, 0.418096792646594, -1.192, 0.952, -1.048], a = 0.2, v = 0.2, t = 0.1)
movej(p[0.456805704421686, 0.0621083296644454, 0.418097475978915, -1.192, 0.952, -1.048], a = 0.2, v = 0.2, t = 0.1)
movej(p[0.4567968369096, 0.0621109122824409, 0.418099121534962, -1.192, 0.952, -1.048], a = 0.2, v = 0.2, t = 0.1)
movej(p[0.456787559256502, 0.0621115484061912, 0.418102481855863, -1.192, 0.952, -1.048], a = 0.2, v = 0.2, t = 0.1)
movej(p[0.456776650606901, 0.0621115864673584, 0.418105550856392, -1.192, 0.952, -1.048], a = 0.2, v = 0.2, t = 0.1)
movej(p[0.456764012065847, 0.0621111810251157, 0.41810779203189, -1.192, 0.952, -1.048], a = 0.2, v = 0.2, t = 0.1)
movej(p[0.456749890675948, 0.0621109046286893, 0.418109546649602, -1.192, 0.952, -1.048], a = 0.2, v = 0.2, t = 0.1)
movej(p[0.456736288331975, 0.0621111645496747, 0.418112642610283, -1.192, 0.952, -1.048], a = 0.2, v = 0.2, t = 0.1)
movej(p[0.456724969768519, 0.06211207346621, 0.418117586694425, -1.192, 0.952, -1.048], a = 0.2, v = 0.2, t = 0.1)
movej(p[0.456716874730907, 0.0621139505555915, 0.418123830429086, -1.192, 0.952, -1.048], a = 0.2, v = 0.2, t = 0.1)
movej(p[0.456711577410961, 0.0621161353635777, 0.418128287969715, -1.192, 0.952, -1.048], a = 0.2, v = 0.2, t = 0.1)
movej(p[0.456708236214391, 0.0621184352769699, 0.41812947962607, -1.192, 0.952, -1.048], a = 0.2, v = 0.2, t = 0.1)
movej(p[0.456706709950181, 0.0621197480634503, 0.418126336732623, -1.192, 0.952, -1.048], a = 0.2, v = 0.2, t = 0.1)
movej(p[0.456706063742734, 0.0621207201322945, 0.418118870588364, -1.192, 0.952, -1.048], a = 0.2, v = 0.2, t = 0.1)
movej(p[0.456706545181263, 0.0621210477537085, 0.418109033745672, -1.192, 0.952, -1.048], a = 0.2, v = 0.2, t = 0.1)
movej(p[0.456707910664273, 0.0621194609420366, 0.418100444352104, -1.192, 0.952, -1.048], a = 0.2, v = 0.2, t = 0.1)
movej(p[0.45671129843257, 0.0621149025920159, 0.418094463343489, -1.192, 0.952, -1.048], a = 0.2, v = 0.2, t = 0.1)
movej(p[0.45671767102012, 0.0621081087671726, 0.418087585116761, -1.192, 0.952, -1.048], a = 0.2, v = 0.2, t = 0.1)
movej(p[0.456727789727704, 0.0621021569596828, 0.418077789051713, -1.192, 0.952, -1.048], a = 0.2, v = 0.2, t = 0.1)
