movej(p[-0.515996964901644, -0.227994817305189, 0.409631719299915, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515984582034797, -0.227973672481455, 0.410169119529045, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.51596806457804, -0.227945467485313, 0.410885955553789, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515953716840357, -0.227920967473478, 0.411508628607933, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515932738708744, -0.227885145486476, 0.412419052088612, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515912044856315, -0.227849808930945, 0.413317138224397, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515897329227922, -0.227824680713679, 0.413955777254288, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.51590683585831, -0.227840914113129, 0.413543201926455, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.51593074875445, -0.227881747466187, 0.412505413502882, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515954139078558, -0.227921688481984, 0.411490304022132, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515975271891492, -0.227957774600815, 0.410573167574376, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515984970828388, -0.227974336380377, 0.410152246395585, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515990225812732, -0.227983309723872, 0.409924186946558, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515993093688038, -0.22798820687076, 0.409799724908347, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.51599750419598, -0.227995738197242, 0.409608314630922, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.51599750419598, -0.227995738197242, 0.409608314630922, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515996496677104, -0.227994017771003, 0.409652039632684, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515988440706674, -0.227980261499789, 0.410001658215241, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515971806193783, -0.227951856620101, 0.410723574323177, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515949444291431, -0.227913671724033, 0.411694051644452, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.51592904307934, -0.227878834877367, 0.412579437572255, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515912901874446, -0.227851272364053, 0.413279944758167, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515897316686193, -0.227824659297584, 0.413956321548915, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515899005638997, -0.227827543331612, 0.413883023205712, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515930058959369, -0.227880569581003, 0.412535349707408, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515958411627484, -0.227928984231429, 0.411304880985612, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515972571239236, -0.22795316300185, 0.410690372350885, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515983365487109, -0.227971595120311, 0.410221916107936, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515992805228277, -0.227987714300592, 0.409812243684785, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515994770099114, -0.227991069488693, 0.409726970859771, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515995263407111, -0.227991911855067, 0.409705561937746, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515986990046716, -0.227977784371553, 0.410064614960517, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515974465040276, -0.227956396832084, 0.410608183862095, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.51595208641562, -0.227918183381224, 0.41157938690954, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515929515484456, -0.227879641550251, 0.412558935807944, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515912278968585, -0.227850208698038, 0.413306978058012, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.51589628408386, -0.227822896039157, 0.414001135139933, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.51589735431138, -0.227824723545867, 0.413954688665032, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515924682738314, -0.227871389215263, 0.412768670671169, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515954887401706, -0.227922966308942, 0.411457827776009, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515970715063382, -0.2279499934199, 0.410770927955792, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515980727543496, -0.227967090601818, 0.410336399411306, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515989899727785, -0.227982752905422, 0.40993833860688, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515994297693998, -0.227990262815809, 0.409747472624083, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515995631297821, -0.227992540060499, 0.409689595961999, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515996442329613, -0.227993924967928, 0.409654398242738, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.51599929766319, -0.227998800698721, 0.409530480499154, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515998770910583, -0.227997901222762, 0.409553340873519, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515990915607813, -0.227984487609057, 0.409894250742032, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.51597462808275, -0.227956675241309, 0.410601108031934, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515962575481427, -0.227936094374724, 0.4111241751692, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515943532956616, -0.227903577604937, 0.411950595845664, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515924360833942, -0.22787083953551, 0.412782640899948, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515913763073153, -0.227852742935859, 0.413242569860395, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515907007261936, -0.22784120679975, 0.413535763233209, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515928478701547, -0.227877871153126, 0.412603930830504, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.51595232052789, -0.227918583148317, 0.411569226743155, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515971990139138, -0.227952170722816, 0.410715591335304, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515979682399434, -0.227965305927297, 0.410381757296952, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.51598638386316, -0.22797674926033, 0.410090922534192, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515991597041741, -0.227985651216845, 0.409864677400591, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515996638816697, -0.227994260486738, 0.409645870960236, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515997194833338, -0.227995209933584, 0.409621740565073, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515997249180829, -0.227995302736659, 0.409619381955019, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515999945652509, -0.227999907196925, 0.409502358610054, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515999280940885, -0.227998772143929, 0.409531206225324, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515990338688291, -0.227983502468721, 0.409919288294908, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515976751815484, -0.227960301699938, 0.410508940808302, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
movej(p[-0.515968240162243, -0.227945767310632, 0.410878335429, -0.871, -1.583, 1.667], a = 0.2, v = 0.2, t = 0.2)
